subset,protocol,method,seed,metric,variable,value,metrics_path,predictions_path,config_path
multi-partial,shared_planets,conv_decoder,4,relative_rmse,cloud_fraction,0.5947456359863281,,,
multi-partial,shared_planets,conv_decoder,4,relative_rmse,u,0.7577649354934692,,,
multi-partial,shared_planets,conv_decoder,4,relative_rmse,v,0.7198050618171692,,,
multi-partial,shared_planets,conv_decoder,4,relative_rmse,asr,1.0665394067764282,,,
multi-partial,shared_planets,conv_decoder,4,relative_rmse,olr,0.762479841709137,,,
multi-partial,shared_planets,conv_decoder,4,relative_acc,surface_temperature,1.0091519355773926,,,
multi-partial,shared_planets,conv_decoder,4,relative_acc,temperature,4.4278564453125,,,
multi-partial,shared_planets,conv_decoder,4,relative_acc,specific_humidity_dex,1.1862037181854248,,,
multi-partial,shared_planets,conv_decoder,4,relative_acc,cloud_fraction,1.4439306259155273,,,
multi-partial,shared_planets,conv_decoder,4,relative_acc,u,3.4148495197296143,,,
multi-partial,shared_planets,conv_decoder,4,relative_acc,v,1.2923691272735596,,,
multi-partial,shared_planets,conv_decoder,4,relative_acc,asr,1.00113844871521,,,
multi-partial,shared_planets,conv_decoder,4,relative_acc,olr,1.1310222148895264,,,
multi-partial,standard,coord_deeponet,0,rmse,surface_temperature,12.775678634643555,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,rmse,temperature,10.73301076889038,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,rmse,specific_humidity_dex,0.5298471063375473,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,rmse,cloud_fraction,0.09070225581526756,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,rmse,u,10.934195137023925,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,rmse,v,4.990510082244873,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,rmse,asr,29.684356689453125,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,rmse,olr,19.03484344482422,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,acc,surface_temperature,0.9422861337661743,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,acc,temperature,0.5699518740177154,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,acc,specific_humidity_dex,0.720512929558754,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,acc,cloud_fraction,0.6492101520299911,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,0,acc,u,0.6483208745718002,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
