subset,protocol,method,metric,variable,value,metrics_path,predictions_path,config_path
multi-partial,shared_planets,coord_deeponet,relative_acc,asr,1.0039048194885254,results/models/multi-partial/coord_deeponet/metrics_shared_planets.json,results/models/multi-partial/coord_deeponet/predictions_shared_planets.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,shared_planets,coord_deeponet,relative_acc,olr,1.118770718574524,results/models/multi-partial/coord_deeponet/metrics_shared_planets.json,results/models/multi-partial/coord_deeponet/predictions_shared_planets.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_mlp,rmse,surface_temperature,17.184656143188477,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,rmse,temperature,12.647778511047363,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,rmse,specific_humidity_dex,0.6574239403009414,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,rmse,cloud_fraction,0.10510501861572266,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,rmse,u,12.21805682182312,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,rmse,v,4.955683994293213,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,rmse,asr,77.1313705444336,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,rmse,olr,34.2557258605957,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,acc,surface_temperature,0.9150043725967407,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,acc,temperature,0.42928455024957657,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,acc,specific_humidity_dex,0.6529234521090984,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,acc,cloud_fraction,0.5608252748847008,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,standard,coord_mlp,acc,u,0.5973645091056824,results/models/multi-partial/coord_mlp/metrics_standard.json,results/models/multi-partial/coord_mlp/predictions.npz,results/models/multi-partial/coord_mlp/config.json
